art_id,art_name,art_name_uri,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
322,Johanna Glösl,,Johanna,,Glösl,,1982,Bad Ischl,,,Vienna,Austria,Europe,,,
323,Johannes Heuer,https://www.wikidata.org/entity/Q99504564,Johannes,,Heuer,,,,,,,,Europe,,,
324,Johannes Stöckler,,Johannes,,Stöckler,,,,,,,,Europe,,,
325,John Preininger,https://www.wikidata.org/entity/Q1556367,John,,Preininger,,,,,,,,Europe,,,
326,Jörg Klauber,https://www.wikidata.org/entity/Q112406298,Jörg,,Klauber,,,,,,,,Europe,,,
327,Jorge Lepez Vela,,Jorge,,Lepez Vela,,,,,,,,,,,
328,José Iges,https://www.wikidata.org/entity/Q25818714,José,,Iges,,,,,,,,,,,
329,José Manuel Pintado,https://www.wikidata.org/entity/Q94128328,José Manuel,,Pintado,,,,,,,,,,,
330,José Montealegre,,José,,Montealegre,,,,,,,,,,,
331,José Raúl Pérez,,José Raúl,,Pérez,,,,,,,,,,,
332,Josef Dabernig,,Josef,,Dabernig,,,,,,,,Europe,,,
333,Josef Flois,,Josef,,Flois,,,,,,,,Europe,,,
334,Josef Fürpass,,Josef,,Fürpass,,,,,,,,Europe,,,
335,Juan Carlos Mendoza,,Juan Carlos,,Mendoza,,,,,,,,,,,
336,Juana López Meza,,Juana,,López Meza,,,,,,,,,,,
337,Judith Fegerl,https://www.wikidata.org/entity/Q131779249,Judith,,Fegerl,,,,,,,,Europe,,,
338,Julian Feyerabend,,Julian,,Feyerabend,,,,,,,,Europe,,,
339,Julie Monaco,,Julie,,Monaco,,,,,,,,,,,
340,Jun Youn-Li,,Jun,,Youn-Li,,,,,,,South Korea,Asia,,,
341,Jung In-Wan,,Jung,,In-Wan,,,,,,,South Korea,Asia,,,
342,Jürgen Schiefer,,Jürgen,,Schiefer,,,,,,,,Europe,,,
343,Jutta Zniva,https://www.wikidata.org/entity/Q132944429,Jutta,,Zniva,,,,,,Graz,Austria,Europe,,,
344,Krzysztof Bednarski,,Krzysztof,,Bednarski,,,,,,,Poland,Europe,,,
345,Krzysztof Grzesiak,https://www.wikidata.org/entity/Q135525999,Krzysztof,,Grzesiak,,,,,,,Poland,Europe,,,
346,Karol Śliwka,,Karol,,Śliwka,,,,,,,Poland,Europe,,,
347,Krzysztof Tyczkowski,,Krzysztof,,Tyczkowski,,,,,,,Poland,Europe,,,
348,Kang Chang-Yul,,Kang,,Chang-Yul,,,,,,,South Korea,Asia,,,
349,Kang Jung-Hyun,,Kang,,Jung-Hyun,,,,,,,South Korea,Asia,,,
350,Kang Ku-Won,,Kang,,Ku-Won,,,,,,,South Korea,Asia,,,
351,Kang Kyung-Gu,,Kang,,Kyung-Gu,,,,,,,South Korea,Asia,,,
352,Karl Grünling,,Karl,,Grünling,,,,,,,,Europe,,,
353,Karl Heinz Dicht,,Karl Heinz,,Dicht,,,,,,,,Europe,,,
354,Karl Hikade,https://www.wikidata.org/entity/Q94634557,Karl,,Hikade,,,,,,,,Europe,,,
355,Karl Schmoll,https://www.wikidata.org/entity/Q1291409,Karl,,Schmoll,,,,,,,,Europe,,,
356,Karl Stocker,,Karl,,Stocker,,,,,,,,Europe,,,
357,Karl Wilhelm Krbavac,,Karl Wilhelm,,Krbavac,,,,,,,,Europe,,,
358,Karl-Heinz Bloyer,,Karl-Heinz,,Bloyer,,,,,,,,Europe,,,
359,Kartell Graz,,,,,Kartell Graz,,,,,,,Europe,,,
360,Katarina Juvančič,https://www.wikidata.org/entity/Q94087554,Katarina,,Juvančič,,,,,,,,Europe,,,
361,Katarina Pejovic,,Katarina,,Pejovic,,,,,,,,Europe,,,
362,Katharina Bürgin,https://www.wikidata.org/entity/Q85094244,Katharina,,Bürgin,,,,,,,,Europe,,,
363,Katharina Mraček-Gabalier,,Katharina,,Mraček-Gabalier,,,,,,,,Europe,,,
364,Katharina Riese,https://www.wikidata.org/entity/Q1735975,Katharina,,Riese,,,,,,,,Europe,,,
365,Kaye Mortley,https://www.wikidata.org/entity/Q13543847,Kaye,,Mortley,,,,,,,,,,,
366,Keneth Martínez López,,Keneth,,Martínez López,,,,,,,,,,,
367,Kim Cheol-Woo,,Kim,,Cheol-Woo,,,,,,,South Korea,Asia,,,
368,Kim Dong-hae,https://www.wikidata.org/entity/Q6408572,Kim,,Hae-Dong,,,,,,,South Korea,Asia,,,
369,Kim In-Ha,,Kim,,In-Ha,,,,,,,South Korea,Asia,,,
370,Joung Soo Kim,https://www.wikidata.org/entity/Q94646707,Kim,,Joung-Soo,,,,,,,South Korea,Asia,,,
371,Kim Keun-Tai,,Kim,,Keun-Tai,,,,,,,South Korea,Asia,,,
372,Kim Ki-Kwon,,Kim,,Ki-Kwon,,,,,,,South Korea,Asia,,,
373,Kim Kwang-Hyun,,Kim,,Kwang-Hyun,,,,,,,South Korea,Asia,,,
374,Kim Moon-Hoe,,Kim,,Moon-Hoe,,,,,,,South Korea,Asia,,,
375,Kim Sun,,Kim,,Sun,,,,,,,South Korea,Asia,,,
376,Kim Young-Sou,,Kim,,Young-Sou,,,,,,,South Korea,Asia,,,
377,Kim Yun-Hoon,,Kim,,Yun-Hoon,,,,,,,South Korea,Asia,,,
378,Klaus Lippitsch,,Klaus,,Lippitsch,,,,,,,,Europe,,,
379,Klaus Obermaier,https://www.wikidata.org/entity/Q108782805,Klaus,,Obermaier,,,,,,,,Europe,,,
380,Klemens Pliem,https://www.wikidata.org/entity/Q105594579,Klemens,,Pliem,,,,,,,,Europe,,,
381,Kolonie Wedding,,,,,Kolonie Wedding,,,,,,,Europe,,,
382,kompott,,,,,kompott,,,,,,,Europe,,,
383,Konstantin Zvezdochetov,https://www.wikidata.org/entity/Q4189441,Konstantin,,Zvezdochotov,,1958,Moscow,,,,Russia,Europe,,,
384,kozek hörlonski,,,,,kozek hörlonski,,,,,Vienna,Austria,Europe,,,
385,Krzysztof Malachowski,,Krzysztof,,Malachowski,,,,,,,Poland,Europe,,,
386,kultuuritehas polymer,,,,,kultuuritehas polymer,,,,,Tallinn,Estonia,Europe,,,
387,Künstlergruppe Piedra del Sol (A/MEX),,,,,Künstlergruppe Piedra del Sol,,,,,,,Europe,,,
388,Kurt Bauer,,Kurt,,Bauer,,,,,,,,Europe,,,
389,Kurt Strohmeier,,Kurt,,Strohmeier,,,,,,,,Europe,,,
390,Kvartet 4 U (Rož),,,,,Kvartet 4 U (Rož),,,,,Rož/Rosental,Austria,Europe,,,
391,Lex Drewinski,https://www.wikidata.org/entity/Q94079585,Leszek,,Drzewiński,,,,,,,Poland,Europe,,,
392,Label niesom,,,,,Label niesom,,,,,,,Europe,,,
393,Lale Rodgarkia-Dara,,Lale,,Rodgarkia-Dara,,,,,,,,Europe,,,
394,Lalo Srkalović,https://www.wikidata.org/entity/Q13085269,Lalo,,Srkalovic,,,,,,,,Europe,,,
395,Lamia Jabri,,Lamia,,Jabri,,,,,,Austria,Germany,Europe,,,
396,Larissa Lasareva,,Larissa,,Lasareva,,,,,,,,Europe,,,
397,Larissa Zvezdochotova,,Larissa,,Zvezdochotova,,1958,Odessa,,,,Ukraine,Europe,,,
398,László Darvasi,https://www.wikidata.org/entity/Q898752,László,,Darvasi,,1962,Törökszentmiklós,,,,Hungary,Europe,,,
399,László Garaczi,https://www.wikidata.org/entity/Q724054,László,,Garaczi,,1956,Budapest,,,,Hungary,Europe,,,
400,László Varvasovszky,https://www.wikidata.org/entity/Q42303114,László,,Varvasovszky,,1947,Vienna,,,Vienna,Austria,Europe,,,
401,Lawrence Weiner (†),,Lawrence,,Weiner,,1942,New York,2021,,New York,USA,America (North),,,
402,Leana Yamileth López Álvarez,,Leana Yamileth,,López Álvarez,,,,,,,,America (Central),,,
403,Leandro Remigio López Meza,,Leandro Remigio,,López Meza,,,,,,,,America (Central),,,
404,Lee Byung-Chun,,Lee,,Byung-Chun,,,,,,,South Korea,Asia,,,
405,Lee Doo-Seop,,Lee,,Doo-Seop,,,,,,,South Korea,Asia,,,
406,Lee Hang,,Lee,,Hang,,,,,,,South Korea,Asia,,,
407,Lee Jai-Min,,Lee,,Jai-Min,,,,,,,South Korea,Asia,,,
408,Lee Jin-Dong,,Lee,,Jin-Dong,,,,,,,South Korea,Asia,,,
409,Lee Jong-Sun,,Lee,,Jong-Sun,,,,,,,South Korea,Asia,,,
410,Lee Joo-Sung,,Lee,,Joo-Sung,,,,,,,South Korea,Asia,,,
411,Lee Joung-Gun,,Lee,,Joung-Gun,,,,,,,South Korea,Asia,,,
412,Lee Jung-Hoon,,Lee,,Jung-Hoon,,,,,,,South Korea,Asia,,,
413,Lee Keun-Myung,,Lee,,Keun-Myung,,,,,,,South Korea,Asia,,,
414,Lee Kwang-Soo,,Lee,,Kwang-Soo,,,,,,,South Korea,Asia,,,
415,Lee Moon-Soo,,Lee,,Moon-Soo,,,,,,,South Korea,Asia,,,
416,Lee Won-il,https://www.wikidata.org/entity/Q19898693,Lee,,Won-Il,,,,,,,South Korea,Asia,,,
417,Leo Hainzl,,Leo,,Hainzl,,1968,Bruck/Mur,,,,Austria,Europe,,,
418,Leo Kreisel-Strausz (†),,Leo,,Kreisel-Strausz,,1961,Graz,2023,,Graz,Austria,Europe,,,
419,Leon Hainzl & Gertraud Hasselbach,,,,,Leon Hainzl & Gertraud Hasselbach,,,,,,,Europe,,,
420,Leonel Cerrato Jirón,,Leonel,,Cerrato Jirón,,,,,,,Nicaragua,America (Central),,,
421,Léster Lagos López,,Léster,,Lagos López,,,,,,,Nicaragua,America (Central),,,
422,Lidia Zielińska,https://www.wikidata.org/entity/Q1823636,Lidia,,Zielińska,,,,,,,,Europe,,,
423,Lidija Krienzer-Radojević,https://www.wikidata.org/entity/Q124608886,Lidija,,Radojević,,,,,,Graz,Slovenia,Europe,,,
424,Liesl Ujvary,https://www.wikidata.org/entity/Q1824346,Liesl,,Ujvary,,,,,,,,Europe,,,
425,Lina Gärtner,,Lina,,Gärtner,,,,,,,,Europe,,,
426,LONESOME HOT DUDES,,,,,LONESOME HOT DUDES,,,,,,,Europe,,,
427,Lorena Campbell,,Lorena,,Campbell,,,,,,,,Europe,,,
428,Lorenzo Armendáriz,,Lorenzo,,Armendáriz,,1961,,,,,Mexico,America (North),,,
429,Lothar Lässer,,Lothar,,Lässer,,1961,Bregenz,,,,Austria,Europe,,,
430,Lotte Lyon,,Lotte,,Lyon,,,,,,,,Europe,,,
431,Luis E. FalconiI,,Luis E.,,FalconiI,,,,,,,,,,,
432,Luis Lupone,https://www.wikidata.org/entity/Q95876476,Luis,,Lupone,,,,,,,,,,,
433,Luka Ropret,https://www.wikidata.org/entity/Q124628384,Luka,,Ropret,,,,,,,,Europe,,,
434,Lukas Cejpek,,Lukas,,Cejpek,,1956,Vienna,,,Vienna,Austria,Europe,,,
435,M&S Architects – Uta Lambrette,,Uta,,Lambrette,M&S Architects,,,,,,,Europe,,,
436,Mieczysław Górowski,https://www.wikidata.org/entity/Q6843589,Mieczyslaw,,Górowski,,1941,Miłkowa,2011,,,Poland,Europe,,,
437,Maciej Majewski,,Maciej,,Majewski,,1977,Rybnik,,,,Poland,Europe,,,
438,Mads Westrup,,Mads,,Westrup,,1984,,,,,Denmark,Europe,,,
439,Mag. Birgit Lesjak-Ladstaetter,,Birgit,,Lesjak-Ladstaetter,,,,,,,Austria,Europe,,,
440,Magdalena Gasser,https://www.wikidata.org/entity/Q133378760,Magdalena,,Gasser,,,,,,,,Europe,,,
441,Maia Gusberti,https://www.wikidata.org/entity/Q85097351,Maia,,Gusberti,,,,,,,,,,,
