art_id,art_name,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
158,Dorothee Steinbauer,Dorothee,,Steinbauer,,1958,Würzburg (D),,,,,Europe,,,
159,Dr. Alfio Borzi,Alfio,,Borzi,,1965,Catania (I),,,,,Europe,,,
160,Dr. Robert Pfaller,Robert,,Pfaller,,1962,Vienna,,,,Austria,Europe,,,
161,Dr. Rudolf Muhr,Rudolf,,Muhr,,1950,Zahling,,,Graz,Austria,Europe,,,
162,Dulce Gómez,Dulce,,Gómez,,,,,,,,,,,
163,Duo MIMESYS,Duo,,MIMESYS,,,,,,,,,,,
164,Durgarski Pozdrav,Durgarski,,Pozdrav,,,,,,,,,,,
165,Dževad Hozo (†),Dževad,,Hozo,,1938,Užice,2020,,,Serbia,Europe,,,
166,Edward Dwurnik (†),Edward,,Dwurnik,,1943,Radzymin,2018,,,Poland,Europe,,,
167,Eugeniusz Get-Stankiewicz (†),Eugeniusz,,Get-Stankiewicz,,1942,Oszmiana (Belarus),2011,,,Poland,Europe,,,
168,e.d gfrerer,e.d,,gfrerer,,1958,Paternion/Kärnten,,,,Austria,Europe,,,
169,EAT Escuela Experimental de Arte (HN/COL),,,,EAT Escuela Experimental de Arte (HN/COL),,,,,,,America (Central),,,
170,Edda Strobl,Edda,,Strobl,,1962,Graz,,,Graz,Austria,Europe,,,
171,Edgar Honetschläger,Edgar,,Honetschläger,,1967,Linz,,,,Austria,Europe,,,
172,Edgar Sorgo,Edgar,,Sorgo,,1963,Villach,,,"Graz, Vienna",Austria,Europe,,,
173,Edgardo Antonio Vigo (†),Edgardo Antonio,,Vigo,,1928,,1997,,,,,,,
174,Edith Arbeláez,Edith,,Arbeláez,,,,,,,Colombia,America (South),,,
175,Eduardo Vélez,Eduardo,,Vélez,,,,,,,,,,,
176,Ekaterina Rischykova,Ekaterina,,Rischykova,,,,,,,,Europe,,,
177,"ekw 14,90",,,,"ekw 14,9",,,,,,,Europe,,,
178,Elektro Guzzi,,,,Elektro Guzzi,,,,,,,Europe,,,
179,Elías Jiménez,Elías,,Jiménez,,,,,,,,,,,
180,Elisabeth Auer,Elisabeth,,Auer,,,,,,,,Europe,,,
181,Elisabeth Harnik,Elisabeth,,Harnik,,,,,,,,Europe,,,
182,Elisabeth Schimana,Elisabeth,,Schimana,,,,,,,,Europe,,,
183,Emil Krištof,Emil,,Krištof,,,,,,,,Europe,,,
184,Emmi Rendl-Denk,Emmi,,Rendl-Denk,,,,,,,,Europe,,,
185,Erin Stewart,Erin,,Stewart,,,,,,,,,,,
186,Ernesto Rico-Schmidt,Ernesto,,Rico-Schmidt,,,,,,,,,,,
187,Ernesto Salmerón,Ernesto,,Salmerón,,,,,,,,,,,
188,Erwin Bohatsch,Erwin,,Bohatsch,,,,,,,,Europe,,,
189,Erwin Michenthaler,Erwin,,Michenthaler,,,,,,,,Europe,,,
190,Erwin Stache,Erwin,,Stache,,,,,,,,Europe,,,
191,Esad Babačić,Esad,,Babačić,,,,,,,,Europe,,,
192,Eva Brede,Eva,,Brede,,,,,,,,Europe,,,
193,Eva Choung-Fux,Eva,,Choung-Fux,,,,,,,,Europe,,,
194,Eva Rossmann,Eva,,Rossmann,,,,,,,,Europe,,,
195,Eva Ursprung,Eva,,Ursprung,,,,,,,,Europe,,,
196,Eva Wohlgemuth,Eva,,Wohlgemuth,,,,,,,,Europe,,,
197,Eva-Maria Gugg,Eva-Maria,,Gugg,,,,,,,,Europe,,,
198,Evelyn Schalk,Evelyn,,Schalk,,1981,Graz,,,Graz,Austria,Europe,,,
199,Ewald Oberleitner,Ewald,,Oberleitner,,,,,,,,Europe,,,
200,Ewald Puhr,Ewald,,Puhr,,,,,,,,Europe,,,
201,Falk Messerschmidt,Falk,,Messerschmidt,,,,,,,,Europe,,,
202,Faroe Gandur,Faroe,,Gandur,,,,,,,,,,,
203,Felipe Ehrenberg,Felipe,,Ehrenberg,,,,,,,,,,,
204,Ferdinand Schmatz,Ferdinand,,Schmatz,,,,,,,,Europe,,,
205,Fikret Libovac,Fikret,,Libovac,,1957,Prijedor (BiH),,,,BiH,Europe,,,
206,firn/Tom Weghofer,Tom,,Weghofer,firn,,,,,,,Europe,,,
207,Flora Neuwirth,Flora,,Neuwirth,,,,,,,,Europe,,,
208,Florian 'Flo' Sorgo,Florian,Flo,Sorgo,,1982,Leoben,,,"Berlin, Graz",Austria,Europe,,,
209,Francesco de Luca,Francesco,,de Luca,,,,,,,,,,,
210,Francisco González (Chico Güirila),Francisco,Chico Güirila,González,,,,,,,,,,,
211,Francisco Klinger Carvalho,Francisco,,Klinger Carvalho,,,,,,,,,,,
212,Francisco Londoño,Francisco,,Londoño,,,,,,,Colombia,America (South),,,
213,Franz Niegelhell,Franz,,Niegelhell,,,,,,,,Europe,,,
214,Franzobel (Franz Stefan Griebl),Franz Stefan,Franzobel,Griebl,,1967,Vöcklabruck,,,,Austria,Europe,,,
215,Freddy Isabel López Álvarez,Freddy Isabel,,López Álvarez,,,,,,,,,,,
216,frei. improvisiert. jazz,,,,frei. improvisiert. jazz,,,,,,,Europe,,,
217,Frie Moschitz,Frie,,Moschitz,,,,,,,,Europe,,,
218,Frie Moschitz & groupe en suite,,,,Frie Moschitz & groupe en suite,,,,,,,Europe,,,
219,Frie Reissig,Frie,,Reissig,,,,,,,,Europe,,,
220,Fritz Bergler,Fritz,,Bergler,,,,,,,,Europe,,,
221,Fritz Fro,Fritz,,Fro,,,,,,,,Europe,,,
222,Fritz Oberleitner,Fritz,,Oberleitner,,,,,,,,Europe,,,
223,Fugu and the Cosmic Mumu,,,,Fugu and the Cosmic Mumu,,,,,,,Europe,,,
224,Grażyna Drzewińska,Grażyna,,Drzewińska,,,,,,,Poland,Europe,,,
225,Geari Schreilechner,Geari,,Schreilechner,,,,,,,,Europe,,,
226,Genoveva Rückert,Genoveva,,Rückert,,,,,,,,Europe,,,
227,Georg Jappe,Georg,,Jappe,,,,,,,,Europe,,,
228,Gerd Jabourek,Gerd,,Jabourek,,,,,,,,Europe,,,
229,Gerd Menia,Gerd,,Menia,,,,,,,,Europe,,,
230,Gerhard Pilgram,Gerhard,,Pilgram,,,,,,,,Europe,,,
231,Gerhard Ruiss,Gerhard,,Ruiss,,1951,Ziersdorf,,,,Austria,Europe,,,
232,German Vinogradov,German,,Vinogradov,,,,,,,,Europe,,,
233,Gernot Tscherteu,Gernot,,Tscherteu,,,,,,,,Europe,,,
234,Gert Langer,Gert,,Langer,,,,,,,,Europe,,,
235,Giberto Chen Carpentier,Giberto,,Chen Carpentier,,,,,,,,,,,
236,Gilles Charalambos,Gilles,,Charalambos,,,,,,,,,,,
