id,label,node_type,pro_year_begin,pro_year_end,ser_id,ser_title,eve_cat_id
A_514,Nikita Alexejev,artist,,,,,
A_515,nomadenetappe,artist,,,,,
A_516,Nora Bachel,artist,,,,,
A_517,Norbert Math,artist,,,,,
A_518,Nusret Pašić,artist,,,,,
A_519,Oskar Humer,artist,,,,,
A_520,Oskar Necoechea,artist,,,,,
A_521,Osvaldo Cibils,artist,,,,,
A_522,Oswald Oberhuber,artist,,,,,
A_523,Pablo Morales y su hija Rosa Morales,artist,,,,,
A_524,Paola Korosec,artist,,,,,
A_525,Park Byung-Choon,artist,,,,,
A_526,Park Jin-Yong,artist,,,,,
A_527,Park Mi-Jung,artist,,,,,
A_528,Park Mi-Sun,artist,,,,,
A_529,Park Yong-Sun,artist,,,,,
A_530,Park Yong-Woon,artist,,,,,
A_531,Patricia Lagarde,artist,,,,,
A_532,Patricia Van Dalen,artist,,,,,
A_533,Patrick Dunst,artist,,,,,
A_534,Paul Petritsch,artist,,,,,
A_535,Paul Skrepek,artist,,,,,
A_536,peanutz architekten,artist,,,,,
A_537,Pedro Joaquín Losa,artist,,,,,
A_538,"Personen aus Wissenschaft, Kunst und Handwerk",artist,,,,,
A_539,Peter Battisti,artist,,,,,
A_540,Peter Sandbichler,artist,,,,,
A_541,Petra Kohlenprath,artist,,,,,
A_542,Petra Leschanz,artist,,,,,
A_543,Petra Music,artist,,,,,
A_544,Pia Elizondo,artist,,,,,
A_545,Pierre Doze,artist,,,,,
A_546,Pierre Octave Poulin,artist,,,,,
A_547,PITCHES CREW,artist,,,,,
A_548,Pixie,artist,,,,,
A_549,pixlel hotel,artist,,,,,
A_550,Plattform Kunst ~ Öffentlichkeit,artist,,,,,
A_551,Prima & Fagot,artist,,,,,
A_552,Projekt Transfair „the golden roof” (Zwischenstand),artist,,,,,
A_553,Proton Group,artist,,,,,
A_554,Radio Freistadt,artist,,,,,
A_555,Radio Fro,artist,,,,,
A_556,"Radio Helsinki FM 92,6",artist,,,,,
A_557,Rainer Ganahl,artist,,,,,
A_558,Rainer Gottemeier,artist,,,,,
A_559,Rainer Possert,artist,,,,,
A_560,Rajiv Joshi,artist,,,,,
A_561,Ralf Thon,artist,,,,,
A_562,Raschid Mohammad,artist,,,,,
A_563,raumlaborberlin,artist,,,,,
A_564,Raumschiff Engelmayr,artist,,,,,
A_565,Raymundo Sesma,artist,,,,,
A_566,"rbw21 (Fritz Fro, Gue Schmidt)",artist,,,,,
A_567,Regula Dettwiler,artist,,,,,
A_568,Reinhard Handl,artist,,,,,
A_569,Reinhard Winkler,artist,,,,,
A_570,Reinhold Leitner,artist,,,,,
A_571,Reinhold Schachner,artist,,,,,
A_572,REIS,artist,,,,,
A_573,Renate Eisenegger,artist,,,,,
A_574,Renate Rosenbauer,artist,,,,,
A_575,Renato Weinberger,artist,,,,,
A_576,René Eisenegger,artist,,,,,
A_577,Reni Hofmüller,artist,,,,,
A_578,Resul Demir,artist,,,,,
A_579,RHIZOM,artist,,,,,
A_580,RHIZOM / tokyo – lijiang – graz – managua,artist,,,,,
A_581,"RHIZOM 1996: Christian Bachler, Leo Kreisel",artist,,,,,
A_582,"RHIZOM 2014: Mirko Maric, Angelika Thon, H.J. Schubert, Leo Kreisel-Strausz",artist,,,,,
A_583,RHIZOM in Kooperation mit steirischer herbst (Veronika Kaup-Hasler als Intendantin),artist,,,,,
A_584,RHIZOM kollektiv,artist,,,,,
A_585,Ricardo Martínez,artist,,,,,
A_586,Richard Kriesche,artist,,,,,
A_587,Richard Reich,artist,,,,,
A_588,Richard Winkler,artist,,,,,
A_589,Richardas Norvila,artist,,,,,
A_590,Robert Adrian X,artist,,,,,
A_591,Robert Filipini,artist,,,,,
A_592,Robert Lepenik,artist,,,,,
A_593,Robert Pfurtscheller,artist,,,,,
A_594,Robert Reinagl,artist,,,,,
A_595,Robert Spour,artist,,,,,
A_596,Robert Wendl,artist,,,,,
A_597,Robert Wolf,artist,,,,,
A_598,Robert Zahornicky,artist,,,,,
A_599,Roberto Cortázar,artist,,,,,
A_600,Roberto Guillén,artist,,,,,
A_601,Roberto Montoya,artist,,,,,
A_602,Roberto Paci Dalò,artist,,,,,
A_603,Roberto Sarmiento,artist,,,,,
A_604,Roland Jörg,artist,,,,,
A_605,Rolf Lappert,artist,,,,,
A_606,Romana Hagyo,artist,,,,,
A_607,Rosa Hausleithner,artist,,,,,
A_608,Rosa María Morales Palacio,artist,,,,,
A_609,Roselies Haider,artist,,,,,
