id,label,art_year_birth,art_year_death,art_nationality,art_area
A_297,Isabella Bordoni,,,,
A_298,Isabella Hollauf,,,,
A_299,Iván Avila,,,,
A_300,Ivan Trenev,,,,
A_301,Ivana Stefanovic,,,,
A_302,Jacek Ćwikła,,,Poland,Europe
A_303,Jerzy Czerniawski,,,Poland,Europe
A_304,Jakub Erol (†),1941,2018,Poland,Europe
A_305,Jarosław Jasiński,,,Poland,Europe
A_306,Jan Młodożeniec,,,Poland,Europe
A_307,Janusz Trzebiatowski,,,Poland,Europe
A_308,"Jaime de Angulo, From Coyote Man and Old Doctor Loon",,,,
A_309,Jaime Muñoz,,,Colombia,America (South)
A_310,Jakob Schneidewind,,,,Europe
A_311,Jana Wisniewski,,,,
A_312,Jeannot Schwartz,,,,
A_313,Jennifer Margarita Lagos López,,,,
A_314,Jens Tomkowitz,,,,Europe
A_315,Jeon Hyeong-Yeol,,,South Korea,Asia
A_316,Jeong Shin-Kong,,,,
A_317,Jerónimo Lira,,,,
A_318,Jikrgi Libovac,,,,
A_319,Jochen Höller,,,,Europe
A_320,Joe & Andrew,,,,
A_321,Jogi Hofmüller,,,Austria,Europe
A_322,Johanna Glösl,1982,,Austria,Europe
A_323,Johannes Heuer,,,,Europe
A_324,Johannes Stöckler,,,,Europe
A_325,John Preininger,,,,Europe
A_326,Jörg Klauber,,,,Europe
A_327,Jorge Lepez Vela,,,,
A_328,José Iges,,,,
A_329,José Manuel Pintado,,,,
A_330,José Montealegre,,,,
A_331,José Raúl Pérez,,,,
A_332,Josef Dabernig,,,,Europe
A_333,Josef Flois,,,,Europe
A_334,Josef Fürpass,,,,Europe
A_335,Juan Carlos Mendoza,,,,
A_336,Juana López Meza,,,,
A_337,Judith Fegerl,,,,Europe
A_338,Julian Feyerabend,,,,Europe
A_339,Julie Monaco,,,,
A_340,Jun Youn-Li,,,South Korea,Asia
A_341,Jung In-Wan,,,South Korea,Asia
A_342,Jürgen Schiefer,,,,Europe
A_343,Jutta Zniva,,,Austria,Europe
A_344,Krzysztof Bednarski,,,Poland,Europe
A_345,Krzysztof Grzesiak,,,Poland,Europe
A_346,Karol Śliwka,,,Poland,Europe
A_347,Krzysztof Tyczkowski,,,Poland,Europe
A_348,Kang Chang-Yul,,,South Korea,Asia
A_349,Kang Jung-Hyun,,,South Korea,Asia
A_350,Kang Ku-Won,,,South Korea,Asia
A_351,Kang Kyung-Gu,,,South Korea,Asia
A_352,Karl Grünling,,,,Europe
A_353,Karl Heinz Dicht,,,,Europe
A_354,Karl Hikade,,,,Europe
A_355,Karl Schmoll,,,,Europe
A_356,Karl Stocker,,,,Europe
A_357,Karl Wilhelm Krbavac,,,,Europe
A_358,Karl-Heinz Bloyer,,,,Europe
A_359,Kartell Graz,,,,Europe
A_360,Katarina Juvančič,,,,Europe
A_361,Katarina Pejovic,,,,Europe
A_362,Katharina Bürgin,,,,Europe
A_363,Katharina Mraček-Gabalier,,,,Europe
A_364,Katharina Riese,,,,Europe
A_365,Kaye Mortley,,,,
A_366,Keneth Martínez López,,,,
A_367,Kim Cheol-Woo,,,South Korea,Asia
A_368,Kim Hae-Dong,,,South Korea,Asia
A_369,Kim In-Ha,,,South Korea,Asia
A_370,Kim Joung-Soo,,,South Korea,Asia
A_371,Kim Keun-Tai,,,South Korea,Asia
A_372,Kim Ki-Kwon,,,South Korea,Asia
A_373,Kim Kwang-Hyun,,,South Korea,Asia
A_374,Kim Moon-Hoe,,,South Korea,Asia
A_375,Kim Sun,,,South Korea,Asia
A_376,Kim Young-Sou,,,South Korea,Asia
A_377,Kim Yun-Hoon,,,South Korea,Asia
A_378,Klaus Lippitsch,,,,Europe
A_379,Klaus Obermaier,,,,Europe
A_380,Klemens Pliem,,,,Europe
A_381,Kolonie Wedding,,,,Europe
A_382,kompott,,,,Europe
A_383,Konstantin Zvezdochotov,1958,,Russia,Europe
A_384,kozek hörlonski,,,Austria,Europe
A_385,Krzysztof Malachowski,,,Poland,Europe
A_386,kultuuritehas polymer,,,Estonia,Europe
A_387,Künstlergruppe Piedra del Sol (A/MEX),,,,Europe
A_388,Kurt Bauer,,,,Europe
A_389,Kurt Strohmeier,,,,Europe
A_390,Kvartet 4 U (Rož),,,Austria,Europe
A_391,Leszek Drzewiński,,,Poland,Europe
A_392,Label niesom,,,,Europe
A_393,Lale Rodgarkia-Dara,,,,Europe
A_394,Lalo Srkalovic,,,,Europe
A_395,Lamia Jabri,,,Germany,Europe
A_396,Larissa Lasareva,,,,Europe
